Key,Desc,Default,English
Color which Fog of War is revealed for. (Black = All),,Color which Fog of War is revealed for. (Black = All),Color which Fog of War is revealed for. (Black = All)
Combine,,Combine,Combine
Combine Into Decks,,Combine Into Decks,Combine Into Decks
Combine all selected objects into a single object.,,Combine all selected objects into a single object.,Combine all selected objects into a single object.
Combining,,Combining,Combining
"Complete physics simulation. Objects can be thrown, pieces can knock down other pieces, etc.",,"Complete physics simulation. Objects can be thrown, pieces can knock down other pieces, etc.","Complete physics simulation. Objects can be thrown, pieces can knock down other pieces, etc."
Complexity,,Complexity,Complexity
Component Spread Distance,,Component Spread Distance,Component Spread Distance
Component States Wrap,,Component States Wrap,Component States Wrap
Component Tags,,Component Tags,Component Tags
Component Tooltip Delay,,Component Tooltip Delay,Component Tooltip Delay
Configuration,,Configuration,Configuration
"Congratulations! You finished the tutorial! You can leave by clicking the 'Menu' button on the top bar, then click 'Main Menu'",,"Congratulations! You finished the tutorial!
You can leave by clicking the 'Menu' button on the top bar,
then click 'Main Menu'","Congratulations! You finished the tutorial!
You can leave by clicking the 'Menu' button on the top bar,
then click 'Main Menu'"
Connect,,Connect,Connect
Connect to IRC,,Connect to IRC,Connect to IRC
Connected Anchor,,Connected Anchor,Connected Anchor
Connected through Steam relay servers. Experience might not be optimal.,,"Connected through Steam relay servers. Experience might not be optimal.

Port Forward:
UDP 3478 (Outbound)
UDP 4379 (Outbound)
UDP 4380 (Outbound)","Connected through Steam relay servers. Experience might not be optimal.

Port Forward:
UDP 3478 (Outbound)
UDP 4379 (Outbound)
UDP 4380 (Outbound)"
Connecting to this player.,,Connecting to this player.,Connecting to this player.
Connecting...,,Connecting...,Connecting...
Console Hotkey Lock,,Console Hotkey Lock,Console Hotkey Lock
Context Menus Can Collapse,,Context Menus Can Collapse,Context Menus Can Collapse
Context Menus Show GM Notes,,Context Menus Show GM Notes,Context Menus Show GM Notes
Contextual,,Contextual,Contextual
Contextual - Lower,,Contextual / Lower,Contextual / Lower
Control Scheme,,Control Scheme,Control Scheme
Controller,,Controller,Controller
Controls how good the surface of all objects look. Recommend to keep on unless you have little system RAM or loading massive Mods with many textures. Off will make all textures half size.,,Controls how good the surface of all objects look. Recommend to keep on unless you have little system RAM or loading massive Mods with many textures. Off will make all textures half size.,Controls how good the surface of all objects look. Recommend to keep on unless you have little system RAM or loading massive Mods with many textures. Off will make all textures half size.
"Controls reflectivity at grazing angles. Higher = grazing angles, Lower = all angles.",,"Controls reflectivity at grazing angles. Higher = grazing angles, Lower = all angles.","Controls reflectivity at grazing angles. Higher = grazing angles, Lower = all angles."
Cooperative Games,,Cooperative Games,Cooperative Games
Copies an object and then deletes it.,,Copies an object and then deletes it.,Copies an object and then deletes it.
Copy,,Copy,Copy
Copy all text to clipboard,,Copy all text to clipboard,Copy all text to clipboard
Copy objects to clone somewhere else. This can also be done in the Contextual Menu.,,Copy objects to clone somewhere else. This can also be done in the Contextual Menu.,Copy objects to clone somewhere else. This can also be done in the Contextual Menu.
Copy player view.,,Copy player view.,Copy player view.
Copy to clipboard. Useful for scripting.,,Copy to clipboard. Useful for scripting.,Copy to clipboard. Useful for scripting.
Core,,Core,Core
Corner,,Corner,Corner
Cosmic Encounter,,Cosmic Encounter,Cosmic Encounter
Counter,,Counter,Counter
Country,,Country,Country
Crasc,,Crasc,Crasc
Create Folder,,Create Folder,Create Folder
Create Server,,Create Server,Create Server
Create States,,Create States,Create States
Create a new UI asset.,,Create a new UI asset.,Create a new UI asset.
Create a new decal.,,Create a new decal.,Create a new decal.
Create a new rotation value.,,Create a new rotation value.,Create a new rotation value.
Create a new save file.,,Create a new save file.,Create a new save file.
Create custom scripts to do a multitude of advanced features.,,Create custom scripts to do a multitude of advanced features.,Create custom scripts to do a multitude of advanced features.
Create folder in Cloud,,Create folder in Cloud,Create folder in Cloud
Create folder in Saved Objects,,Create folder in Saved Objects,Create folder in Saved Objects
Create folder in {0},,Create folder in {0},Create folder in {0}
Create your own custom tags. These will still be searchable but not available as filters.,,Create your own custom tags. These will still be searchable but not available as filters.,Create your own custom tags. These will still be searchable but not available as filters.
Created,,Created,Created
Credits,,Credits,Credits
Crowns,,Crowns,Crowns
Crowns Coin 2,,Crowns Coin 2,Crowns Coin 2
Crowns Coin 3,,Crowns Coin 3,Crowns Coin 3
Crowns Coin 4,,Crowns Coin 4,Crowns Coin 4
Crowns Coin 5,,Crowns Coin 5,Crowns Coin 5
Crowns Coin Ace,,Crowns Coin Ace,Crowns Coin Ace
Crowns Coin Blank,,Crowns Coin Blank,Crowns Coin Blank
Crowns Dice,,Crowns Dice,Crowns Dice
Crowns Square 2,,Crowns Square 2,Crowns Square 2
Crowns Square 3,,Crowns Square 3,Crowns Square 3
Crowns Square 4,,Crowns Square 4,Crowns Square 4
Crowns Square 5,,Crowns Square 5,Crowns Square 5
Crowns Square Ace,,Crowns Square Ace,Crowns Square Ace
Crowns Square Blank,,Crowns Square Blank,Crowns Square Blank
Ctrl,,Ctrl,Ctrl
Current Time,,Current Time,Current Time
Current name of the game you are playing (Shows on server browser and friends list).,,Current name of the game you are playing (Shows on server browser and friends list).,Current name of the game you are playing (Shows on server browser and friends list).
Current name of the game you are playing (Shows on server browser).,,Current name of the game you are playing (Shows on server browser).,Current name of the game you are playing (Shows on server browser).
Custom,,Custom,Custom
Custom Game,,Custom Game,Custom Game
Custom LUT,,Custom LUT,Custom LUT
Custom Models,,Custom Models,Custom Models
Custom Rectangle,,Custom Rectangle,Custom Rectangle
Custom Square,,Custom Square,Custom Square
Custom Token will use the transparency from your .png image to generate a mesh.,,Custom Token will use the transparency from your .png image to generate a mesh.,Custom Token will use the transparency from your .png image to generate a mesh.
Custom UI Assets,,Custom UI Assets,Custom UI Assets
Custom dice type.,,Custom dice type.,Custom dice type.
Custom objects in queue.,,Custom objects in queue.,Custom objects in queue.
Custom tile type. Changes the model of the object.,,Custom tile type. Changes the model of the object.,Custom tile type. Changes the model of the object.
Cut,,Cut,Cut
Cut the deck into two stacks with varying size.,,Cut the deck into two stacks with varying size.,Cut the deck into two stacks with varying size.
Cyclops,,Cyclops,Cyclops
D10 Chrome,,D10 Chrome,D10 Chrome
D12 Chrome,,D12 Chrome,D12 Chrome
D20 Chrome,,D20 Chrome,D20 Chrome
D4 Chrome,,D4 Chrome,D4 Chrome
D6 Black,,D6 Black,D6 Black
D6 Blue,,D6 Blue,D6 Blue
D6 Chrome,,D6 Chrome,D6 Chrome
D6 Green,,D6 Green,D6 Green
D6 Red,,D6 Red,D6 Red
D8 Chrome,,D8 Chrome,D8 Chrome
DELETE_ALL_DECALS,,Delete all decals.,Delete all decals.
DELETE_ALL_TEXT_OBJECTS,,Delete all 3D text objects.,Delete all 3D text objects.
DELETE_DECALS,,Delete Decals,Delete Decals
DELETE_TEXT_OBJECTS,,Delete 3D Text Objects,Delete 3D Text Objects
DELETE_YOUR_DECALS,,Delete your decals.,Delete your decals.
DELETE_YOUR_TEXT_OBJECTS,,Delete your 3D text objects.,Delete your 3D text objects.
DEVELOPERS,,Developers,Developers
DLC (Downloadable Content) are official games we have licenses to from the various publishers and developers.,,DLC (Downloadable Content) are official games we have licenses to from the various publishers and developers.,DLC (Downloadable Content) are official games we have licenses to from the various publishers and developers.
DOWN_THEN_LEFT,,Down / Left,Down / Left
DOWN_THEN_RIGHT,,Down / Right,Down / Right
DROP DOWN,,Drop Down,Drop Down
Damper,,Damper,Damper
Darkness Warlord,,Darkness Warlord,Darkness Warlord
Deal,,Deal,Deal
Deal to all seated players.,,Deal to all seated players.,Deal to all seated players.
Deal to all.,,Deal to all.,Deal to all.
Deal to blue.,,Deal to blue.,Deal to blue.
Deal to brown.,,Deal to brown.,Deal to brown.
Deal to green.,,Deal to green.,Deal to green.
Deal to orange.,,Deal to orange.,Deal to orange.
Deal to pink.,,Deal to pink.,Deal to pink.
Deal to purple.,,Deal to purple.,Deal to purple.
Deal to red.,,Deal to red.,Deal to red.
Deal to teal.,,Deal to teal.,Deal to teal.
Deal to white.,,Deal to white.,Deal to white.
Deal to yellow.,,Deal to yellow.,Deal to yellow.
Debug Server,,Debug Server,Debug Server
Decal,,Decal,Decal
Decal name,,Decal name,Decal name
Decals,,Decals,Decals
Decals are great for adding small details or for card stickers.,,Decals are great for adding small details or for card stickers.,Decals are great for adding small details or for card stickers.
Deck,,Deck,Deck
Deck Builder,,Deck Builder,Deck Builder
Deck Editor,,Deck Editor,Deck Editor
Default,,Default,Default
Delete,,Delete,Delete
Delete Audioclip from Playlist?,,Delete Audioclip from Playlist?,Delete Audioclip from Playlist?
Delete all 3D text objects?,,Delete all 3D text objects?,Delete all 3D text objects?
Delete all 3d texts.,,Delete all 3d texts.,Delete all 3d texts.
Delete all decals.,,Delete all decals.,Delete all decals.
Delete all decals?,,Delete all decals?,Delete all decals?
Delete all snap points.,,Delete all snap points.,Delete all snap points.
Delete all snap points?,,Delete all snap points?,Delete all snap points?
