Key,Desc,Default,Chinese (Traditional)
Click and drag a zone for a Fog of War area.,,Click and drag a zone for a Fog of War area.,點擊並拖放可劃出一個戰爭迷霧區。
Click and drag a zone for your personal hidden area. Right click to change the color or click the settings gear for more options. Click again to delete the zone.,,Click and drag a zone for your personal hidden area. Left-click to change the color or click the settings gear for more options.,點擊並拖放可劃出一個私人隱藏區。左鍵點擊可設定顏色，或者點擊設定以查看更多選項。
"Click and drag to create a randomized zone. Everything in this zone will be randomized when you right click on it. This is good for randomizing cards, tiles, etc for games that need it.",,"Click and drag to create a randomized zone. Let-click it to show the Randomize button. This is good for randomizing cards, tiles, etc for games that need it.",點擊並拖放可劃出一個隨機區。左鍵點擊可呼出隨機按鈕，便於需要隨機洗牌或打亂物件的遊戲。
Click edit to start typing here,,Click edit to start typing here,點擊「編輯」以開始在此輸入
Click in the (Right Stick) to reset the camera.,,Click in the <Right Stick> to reset the camera.,點擊＜RS＞以重設鏡頭。
Click to End Turn,,Click to End Turn,點擊以結束回合
Click to open page to knowledge base.,,Click to open page to knowledge base.,點擊以開啟線上資料庫。
Clone,,Clone,複製
Clone copied objects to this location. This can also be done in the Global Contextual Menu.,,Clone copied objects to this location. This can also be done in the Global Contextual Menu.,在此位置生成複製物件。在環境選單中亦可執行相同的動作。
Cloud Manager,,Cloud Manager,雲端管理員
Clubs,,Clubs,俱樂部
Code,,Code,代碼
Coin,,Coin,硬幣
Collapse-Show Modding Actions,,Collapse/Show Modding Actions,隱藏／顯示模組動作
Collapse-Show Movement Actions,,Collapse/Show Movement Actions,隱藏／顯示移動動作
Collapse-Show Object Properties,,Collapse/Show Object Properties,隱藏／顯示物件屬性
Collider,,Collider,碰撞體
Collision,,Collision,碰撞
Color,,Color,顏色
Color Tint,,Color Tint,調色板
Color which Fog of War is revealed for. (Black = All),,Color which Fog of War is revealed for. (Black = All),顯示戰爭迷霧的玩家顏色。（黑色等於所有玩家）
Combine,,Combine,組合
Combine Into Decks,,Combine Into Decks,合併進入牌堆
Combine all selected objects into a single object.,,Combine all selected objects into a single object.,組合所有已選取物件為一件物品。
Combining,,Combining,組合
"Complete physics simulation. Objects can be thrown, pieces can knock down other pieces, etc.",,"Complete physics simulation. Objects can be thrown, pieces can knock down other pieces, etc.",完整的物理模擬。可拋擲物品，棋子可打翻其他棋子等等。
Complexity,,Complexity,難度
Component Spread Distance,,Component Spread Distance,配件展開距離
Component States Wrap,,Component States Wrap,配件狀態覆蓋
Component Tags,,Component Tags,配件標籤
Component Tooltip Delay,,Component Tooltip Delay,配件提示延遲
Configuration,,Configuration,設定
"Congratulations! You finished the tutorial! You can leave by clicking the 'Menu' button on the top bar, then click 'Main Menu'",,"Congratulations! You finished the tutorial!
You can leave by clicking the 'Menu' button on the top bar,
then click 'Main Menu'","恭喜！您完成了教學！
可以透過點擊頂部的「選單」按鈕並點擊「主選單」以離開。"
Connect,,Connect,連線
Connect to IRC,,Connect to IRC,連線至 IRC 頻道
Connected Anchor,,Connected Anchor,已連結錨點
Connected through Steam relay servers. Experience might not be optimal.,,"Connected through Steam relay servers. Experience might not be optimal.

Port Forward:
UDP 3478 (Outbound)
UDP 4379 (Outbound)
UDP 4380 (Outbound)","透過以下 Steam 中繼伺服器連接。體驗可能無法達到最佳。

通訊埠轉發：
UDP 3478（離埠）
UDP 4379（離埠）
UDP 4380（離埠）"
Connecting to this player.,,Connecting to this player.,連線至此玩家。
Connecting...,,Connecting...,連線中……
Console Hotkey Lock,,Console Hotkey Lock,控制台鎖定快速鍵
Container Logging,,,容器記錄
Context Menus Can Collapse,,Context Menus Can Collapse,環境選單可摺疊
Context Menus Show GM Notes,,Context Menus Show GM Notes,環境選單顯示遊戲主持者筆記
Contextual,,Contextual,環境選單
Contextual - Lower,,Contextual / Lower,環境選單／放下
Control Scheme,,Control Scheme,控制方式
Controller,,Controller,控制器
Controls how good the surface of all objects look. Recommend to keep on unless you have little system RAM or loading massive Mods with many textures. Off will make all textures half size.,,Controls how good the surface of all objects look. Recommend to keep on unless you have little system RAM or loading massive Mods with many textures. Off will make all textures half size.,控制物件的紋理效果，推薦啟用。系統記憶體過少或模組紋理載入量過高時，停用並以 50% 的比例顯示紋理。
"Controls reflectivity at grazing angles. Higher = grazing angles, Lower = all angles.",,"Controls reflectivity at grazing angles. Higher = grazing angles, Lower = all angles.",控制低角度入射時的反射率。數值越高代表僅入射角反射，數值越低代表所有角度都反射。
Cooperative Games,,Cooperative Games,合作博弈遊戲
Copies an object and then deletes it.,,Copies an object and then deletes it.,複製物件並移除原有物件。
Copy,,Copy,複製
Copy all text to clipboard,,Copy all text to clipboard,複製所有文字至剪貼簿
Copy objects to clone somewhere else. This can also be done in the Contextual Menu.,,Copy objects to clone somewhere else. This can also be done in the Contextual Menu.,複製此物件。在環境選單中亦可執行相同的動作。
Copy player view.,,Copy player view.,複製玩家的視角。
Copy to clipboard. Useful for scripting.,,Copy to clipboard. Useful for scripting.,複製至剪貼簿。在製作腳本時非常有用。
Core,,Core,核心
Corner,,Corner,牆角
Cosmic Encounter,,Cosmic Encounter,銀河遭遇
Counter,,Counter,計數器
Country,,Country,國家
Crasc,,Crasc,獨眼蝙蝠魚
Create Folder,,Create Folder,新增資料夾
Create Server,,Create Server,建立伺服器
Create States,,Create States,建立狀態
Create a new UI asset.,,Create a new UI asset.,新增介面配件。
Create a new decal.,,Create a new decal.,新增一個印花。
Create a new rotation value.,,Create a new rotation value.,新增旋轉數值。
Create a new save file.,,Create a new save file.,新增存檔。
Create custom scripts to do a multitude of advanced features.,,Create custom scripts to do a multitude of advanced features.,建立自訂腳本以實現更多進階功能。
Create folder in Cloud,,Create folder in Cloud,新增雲端資料夾
Create folder in Saved Objects,,Create folder in Saved Objects,在已儲存物件中新增資料夾
Create folder in {0},,Create folder in {0},新增資料夾「{0}」
Create your own custom tags. These will still be searchable but not available as filters.,,Create your own custom tags. These will still be searchable but not available as filters.,新增自訂的標籤。這些標籤可被搜尋，但是在篩選中不可用。
Created,,Created,已建立
Credits,,Credits,製作人員名單
Crowns,,Crowns,小丑
Crowns Coin 2,,Crowns Coin 2,小丑硬幣 2
Crowns Coin 3,,Crowns Coin 3,小丑硬幣 3
Crowns Coin 4,,Crowns Coin 4,小丑硬幣 4
Crowns Coin 5,,Crowns Coin 5,小丑硬幣 5
Crowns Coin Ace,,Crowns Coin Ace,小丑硬幣 A
Crowns Coin Blank,,Crowns Coin Blank,小丑硬幣 空白
Crowns Dice,,Crowns Dice,小丑骰子
Crowns Square 2,,Crowns Square 2,小丑方塊 2
Crowns Square 3,,Crowns Square 3,小丑方塊 3
Crowns Square 4,,Crowns Square 4,小丑方塊 4
Crowns Square 5,,Crowns Square 5,小丑方塊 5
Crowns Square Ace,,Crowns Square Ace,小丑方塊 A
Crowns Square Blank,,Crowns Square Blank,小丑方塊 空白
Ctrl,,Ctrl,Ctrl
Current Time,,Current Time,目前時間
Current name of the game you are playing (Shows on server browser and friends list).,,Current name of the game you are playing (Shows on server browser and friends list).,目前遊戲的名稱（會顯示在伺服器瀏覽器及好友列表中）。
Current name of the game you are playing (Shows on server browser).,,Current name of the game you are playing (Shows on server browser).,目前的遊戲名稱（會顯示在伺服器瀏覽器中）。
Custom,,Custom,自訂
Custom Game,,Custom Game,自訂遊戲
Custom LUT,,Custom LUT,自訂 LUT
Custom Models,,Custom Models,自訂模型
Custom Rectangle,,Custom Rectangle,自訂長方桌
Custom Square,,Custom Square,自訂方桌
Custom Token will use the transparency from your .png image to generate a mesh.,,Custom Token will use the transparency from your .png image to generate a mesh.,自訂標記物會使用 PNG 檔案生成一個網格。
Custom UI Assets,,Custom UI Assets,自訂介面配件
Custom dice type.,,Custom dice type.,自訂骰子種類。
Custom objects in queue.,,Custom objects in queue.,行列中的自訂物件。
Custom tile type. Changes the model of the object.,,Custom tile type. Changes the model of the object.,自訂磚塊牌種類。更改物件的模型。
Cut,,Cut,分牌
Cut the deck into two stacks with varying size.,,Cut the deck into two stacks with varying size.,按設定數值將一副牌分成兩組。
Cyclops,,Cyclops,獨眼巨人
D10 Chrome,,D10 Chrome,鉻金屬 10 面骰子
D12 Chrome,,D12 Chrome,鉻金屬 12 面骰子
D20 Chrome,,D20 Chrome,鉻金屬 20 面骰子
D4 Chrome,,D4 Chrome,鉻金屬 4 面骰子
D6 Black,,D6 Black,黑色 6 面骰子
D6 Blue,,D6 Blue,藍色 6 面骰子
D6 Chrome,,D6 Chrome,鉻金屬 6 面骰子
D6 Green,,D6 Green,綠色 6 面骰子
D6 Red,,D6 Red,紅色 6 面骰子
D8 Chrome,,D8 Chrome,鉻金屬 8 面骰子
DEVELOPERS,,Developers,開發者
DLC (Downloadable Content) are official games we have licenses to from the various publishers and developers.,,DLC (Downloadable Content) are official games we have licenses to from the various publishers and developers.,DLC（可下載內容）是我們從廣大的發行商及開發者手中獲得授權的官方遊戲。
DOWN_THEN_LEFT,,Down / Left,向下／向左
DOWN_THEN_RIGHT,,Down / Right,向下／向右
DROP DOWN,,Drop Down,放下
Damper,,Damper,阻尼器
Darkness Warlord,,Darkness Warlord,闇黑戰神
Deal,,Deal,發牌
Deal to all seated players.,,Deal to all seated players.,發牌至就座的所有玩家。
Deal to all.,,Deal to all.,發牌至所有玩家。
Deal to blue.,,Deal to blue.,發牌至藍色玩家。
Deal to brown.,,Deal to brown.,發牌至棕色玩家。
Deal to green.,,Deal to green.,發牌至綠色玩家。
Deal to orange.,,Deal to orange.,發牌至橙色玩家。
Deal to pink.,,Deal to pink.,發牌至粉色玩家。
Deal to purple.,,Deal to purple.,發牌至紫色玩家。
Deal to red.,,Deal to red.,發牌至紅色玩家。
Deal to teal.,,Deal to teal.,發牌至深青色玩家。
Deal to white.,,Deal to white.,發牌至白色玩家。
Deal to yellow.,,Deal to yellow.,發牌至黃色玩家。
Decal,,Decal,印花
Decal name,,Decal name,印花名稱
Decals,,Decals,印花
Decals are great for adding small details or for card stickers.,,Decals are great for adding small details or for card stickers.,印花很適合加入細節或製作卡片貼紙。
Deck,,Deck,牌堆
Deck Builder,,Deck Builder,牌堆生成器
Deck Can Spread Facedown,,,牌堆可面朝下展開
Deck Editor,,Deck Editor,牌堆編輯器
Default,,Default,預設
Delete,,Delete,刪除
